subject,grade,cbc_code,bloom_level,question,options,answer
Mathematics,4,M4.1.1,1,What is 5 + 7?,"['10', '11', '12', '13']",12
Mathematics,4,M4.2.3,2,Which shape has 4 equal sides?,"['Rectangle', 'Square', 'Triangle', 'Circle']",Square
Mathematics,5,M5.3.2,3,"A triangle has sides of 3 cm, 4 cm, and 5 cm. What type of triangle is it?","['Equilateral', 'Isosceles', 'Right-angled', 'Scalene']",Right-angled
Mathematics,6,M6.4.1,4,"If the radius of a circle is 7 cm, find its area. (Use π = 22/7)","['144 cm²', '154 cm²', '132 cm²', '160 cm²']",154 cm²
Science,4,S4.1.1,1,Which organ helps humans to breathe?,"['Lungs', 'Heart', 'Brain', 'Kidney']",Lungs
Science,5,S5.2.3,2,Which organ pumps blood in the human body?,"['Lungs', 'Heart', 'Liver', 'Kidney']",Heart
Science,6,S6.3.2,3,Which process describes how plants make their food?,"['Transpiration', 'Photosynthesis', 'Respiration', 'Fertilization']",Photosynthesis
English,4,E4.1.1,1,Choose the correct plural form of 'child'.,"['childs', 'childes', 'children', 'child']",children
English,4,E4.1.3,2,Which of the following is a noun?,"['run', 'happy', 'school', 'quickly']",school
English,5,E5.2.2,3,Select the sentence with correct punctuation.,"['My brother likes football he plays every day.', 'My brother likes football; he plays every day.', 'My brother likes football he, plays every day.', 'My brother likes football he plays, every day.']",My brother likes football; he plays every day.
English,5,E5.2.4,2,Which word is the opposite of 'brave'?,"['courageous', 'fearful', 'strong', 'bold']",fearful
English,6,E6.3.1,4,Read the sentence: 'She arrived early because she wanted to help.' What is the conjunction in the sentence?,"['She', 'because', 'early', 'help']",because
English,6,E6.3.4,5,Choose the sentence that uses the correct form of the verb 'to be'.,"['They was going to school.', 'They were going to school.', 'They is going to school.', 'They be going to school.']",They were going to school.
